name,template_id,original_price,sale_price,variants
Evan Johnson,78,921.76,153.16,"{""Color"": ""black"", ""Material"": ""inox""}"
Teresa Romero,58,880.05,1783.12,"{""Color"": ""white"", ""Material"": ""silver""}"
Nicholas Gilbert,122,826.06,524.41,"{""Color"": ""blue"", ""Material"": ""gold""}"
Kelly Reyes,180,515.9,109.02,"{""Color"": ""white"", ""Material"": ""silver""}"
Sarah Stark,59,890.7,571.69,"{""Color"": ""blue"", ""Material"": ""plastic""}"
Nicole Parker,23,961.25,1549.2,"{""Color"": ""green"", ""Material"": ""aluminum""}"
Sheri Wilcox,66,802.68,1505.85,"{""Color"": ""black"", ""Material"": ""plastic""}"
Sally Jones,13,944.97,1237.04,"{""Color"": ""black"", ""Material"": ""aluminum""}"
Noah Thompson,97,150.42,555.55,"{""Color"": ""white"", ""Material"": ""silver""}"
Scott Rodriguez,160,697.37,1133.77,"{""Color"": ""green"", ""Material"": ""gold""}"
Cassandra Moran,109,163.1,1890.65,"{""Color"": ""blue"", ""Material"": ""silver""}"
Angela Patton,176,971.46,197.71,"{""Color"": ""black"", ""Material"": ""silver""}"
Jimmy Dalton,64,227.34,372.56,"{""Color"": ""black"", ""Material"": ""gold""}"
Danny Thompson,95,199.5,1302.92,"{""Color"": ""black"", ""Material"": ""gold""}"
David Hernandez,2,649.53,369.07,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Jennifer Gill,38,309.88,686.97,"{""Color"": ""black"", ""Material"": ""inox""}"
Jerome Stanley,91,903.39,1416.41,"{""Color"": ""white"", ""Material"": ""plastic""}"
Nicholas Harris,18,999.57,154.28,"{""Color"": ""orange"", ""Material"": ""plastic""}"
Christopher Foster,117,220.62,1030.78,"{""Color"": ""orange"", ""Material"": ""inox""}"
Jennifer Hartman,62,180.26,238.58,"{""Color"": ""orange"", ""Material"": ""gold""}"
Dr. Emily Hoffman,121,386.88,1944.05,"{""Color"": ""orange"", ""Material"": ""gold""}"
Jose Newton,97,192.99,658.79,"{""Color"": ""red"", ""Material"": ""gold""}"
Karl Lewis,153,106.3,886.52,"{""Color"": ""red"", ""Material"": ""silver""}"
Devin Garcia,163,128.6,1567.99,"{""Color"": ""orange"", ""Material"": ""gold""}"
Bridget Stewart,183,206.61,568.86,"{""Color"": ""white"", ""Material"": ""plastic""}"
Robert Miller,179,293.82,1580.13,"{""Color"": ""orange"", ""Material"": ""inox""}"
Aaron Glenn,69,257.69,1997.73,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Laurie Robinson,138,650.12,1242.25,"{""Color"": ""orange"", ""Material"": ""silver""}"
Rita Collins,169,398.73,1091.3,"{""Color"": ""red"", ""Material"": ""inox""}"
Martin Perez,28,914.37,1230.11,"{""Color"": ""white"", ""Material"": ""aluminum""}"
Rachel Mack,96,964.82,169.2,"{""Color"": ""red"", ""Material"": ""plastic""}"
Christopher Matthews,93,384.14,1674.78,"{""Color"": ""green"", ""Material"": ""silver""}"
Taylor Hill,65,538.48,1414.45,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Erin Henderson,61,749.75,1975.87,"{""Color"": ""red"", ""Material"": ""silver""}"
Robert Castaneda,9,714.17,1640.02,"{""Color"": ""blue"", ""Material"": ""aluminum""}"
Angela Morrison,190,958.14,1859.67,"{""Color"": ""black"", ""Material"": ""gold""}"
David Gonzales,153,685.22,1102.94,"{""Color"": ""red"", ""Material"": ""gold""}"
Elizabeth Moore,128,162.43,1138.23,"{""Color"": ""white"", ""Material"": ""aluminum""}"
Ryan Hayes,77,237.01,745.99,"{""Color"": ""black"", ""Material"": ""gold""}"
Nathaniel Torres,167,299.98,783.33,"{""Color"": ""blue"", ""Material"": ""silver""}"
Scott Norman,192,668.81,257.73,"{""Color"": ""black"", ""Material"": ""plastic""}"
Kimberly Butler,25,981.61,128.38,"{""Color"": ""orange"", ""Material"": ""gold""}"
Andrea Reynolds,96,591.29,624.13,"{""Color"": ""white"", ""Material"": ""silver""}"
Samantha Norris,192,355.8,1614.98,"{""Color"": ""blue"", ""Material"": ""silver""}"
David Rivera,119,112.52,1804.15,"{""Color"": ""red"", ""Material"": ""silver""}"
Melissa Horton,6,403.81,1843.2,"{""Color"": ""red"", ""Material"": ""inox""}"
Perry Cortez,77,363.99,217.67,"{""Color"": ""black"", ""Material"": ""plastic""}"
Tara Williams,141,412.14,1714.18,"{""Color"": ""orange"", ""Material"": ""silver""}"
Sherry Stevens,42,432.68,1298.35,"{""Color"": ""black"", ""Material"": ""inox""}"
Kyle Hodge,74,621.47,226.17,"{""Color"": ""green"", ""Material"": ""silver""}"
Dr. Michael Schmidt PhD,138,555.5,1171.02,"{""Color"": ""white"", ""Material"": ""silver""}"
Joshua Delgado,3,784.74,1828.97,"{""Color"": ""blue"", ""Material"": ""gold""}"
Robert Cummings,177,923.13,353.02,"{""Color"": ""black"", ""Material"": ""inox""}"
Nathan Smith,67,475.19,1918.18,"{""Color"": ""red"", ""Material"": ""plastic""}"
Theresa Kidd,119,591.23,546.45,"{""Color"": ""white"", ""Material"": ""inox""}"
Maria Parker,157,747.73,1472.78,"{""Color"": ""black"", ""Material"": ""gold""}"
Tracey Thomas,103,126.64,744.35,"{""Color"": ""green"", ""Material"": ""gold""}"
Nina Torres,107,178.7,1062.13,"{""Color"": ""black"", ""Material"": ""gold""}"
Cynthia Harrison,12,716.21,432.63,"{""Color"": ""black"", ""Material"": ""silver""}"
Charles Gonzalez,38,387.42,1863.54,"{""Color"": ""green"", ""Material"": ""aluminum""}"
Susan Garcia,124,733.31,891.24,"{""Color"": ""blue"", ""Material"": ""gold""}"
Michael Martin,176,288.28,1242.26,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Joseph Haley,12,516.08,487.22,"{""Color"": ""orange"", ""Material"": ""gold""}"
Ann Mcdaniel,62,793.73,192.73,"{""Color"": ""red"", ""Material"": ""plastic""}"
Laura Bowers,106,770.54,1765.59,"{""Color"": ""black"", ""Material"": ""gold""}"
Jonathan Fuller,112,369.83,1082.5,"{""Color"": ""white"", ""Material"": ""silver""}"
Benjamin Carroll,8,885.04,1378.12,"{""Color"": ""blue"", ""Material"": ""silver""}"
Joshua Watts,149,464.04,208.72,"{""Color"": ""red"", ""Material"": ""plastic""}"
Sean Green,186,993.61,1448.24,"{""Color"": ""black"", ""Material"": ""gold""}"
Meagan Wright,34,201.03,1955.46,"{""Color"": ""red"", ""Material"": ""inox""}"
Joe Murray,28,395.71,1121.55,"{""Color"": ""blue"", ""Material"": ""gold""}"
Amanda Johnson,96,883.41,261.56,"{""Color"": ""black"", ""Material"": ""aluminum""}"
Andrew Hensley,87,245.87,953.35,"{""Color"": ""black"", ""Material"": ""plastic""}"
Robert Glover,38,284.51,1926.13,"{""Color"": ""green"", ""Material"": ""gold""}"
Kayla Hammond,195,618.97,658.18,"{""Color"": ""red"", ""Material"": ""inox""}"
Heather Smith,144,736.33,459.35,"{""Color"": ""red"", ""Material"": ""plastic""}"
Daniel Pitts,156,941.0,1142.03,"{""Color"": ""red"", ""Material"": ""gold""}"
Kristin Lopez,42,947.82,1370.14,"{""Color"": ""black"", ""Material"": ""plastic""}"
Raymond Sparks,70,108.28,330.23,"{""Color"": ""orange"", ""Material"": ""silver""}"
Jerry Harrington,59,652.13,1663.52,"{""Color"": ""red"", ""Material"": ""silver""}"
Dylan Simpson,85,623.64,334.43,"{""Color"": ""blue"", ""Material"": ""inox""}"
Preston Dixon,119,714.46,1497.43,"{""Color"": ""black"", ""Material"": ""gold""}"
Erik Johnson,191,336.48,1177.93,"{""Color"": ""orange"", ""Material"": ""aluminum""}"
Sarah Grant,86,606.56,1645.79,"{""Color"": ""green"", ""Material"": ""inox""}"
Tyler Snow,154,827.17,1986.92,"{""Color"": ""white"", ""Material"": ""plastic""}"
Jay Johnson,3,887.67,1475.36,"{""Color"": ""white"", ""Material"": ""inox""}"
Kimberly Nelson,6,316.18,1277.83,"{""Color"": ""white"", ""Material"": ""silver""}"
Gloria Hernandez,34,155.74,462.29,"{""Color"": ""white"", ""Material"": ""silver""}"
Kevin Ruiz,102,378.85,899.74,"{""Color"": ""orange"", ""Material"": ""inox""}"
Emily Reed,39,376.58,1289.25,"{""Color"": ""white"", ""Material"": ""plastic""}"
Laura Blevins,16,976.8,1796.69,"{""Color"": ""black"", ""Material"": ""aluminum""}"
Stephanie Dunn,68,361.48,1108.6,"{""Color"": ""orange"", ""Material"": ""gold""}"
Natalie Garcia,127,736.47,1552.67,"{""Color"": ""green"", ""Material"": ""gold""}"
Brandon Bass,157,730.58,1125.13,"{""Color"": ""black"", ""Material"": ""plastic""}"
Angela Mitchell,153,483.62,966.14,"{""Color"": ""white"", ""Material"": ""aluminum""}"
Katie Webb,145,566.6,849.14,"{""Color"": ""orange"", ""Material"": ""gold""}"
Veronica Ortiz,197,529.28,925.4,"{""Color"": ""blue"", ""Material"": ""aluminum""}"
Maria Cantu,126,583.29,928.05,"{""Color"": ""green"", ""Material"": ""silver""}"
Scott Chapman,123,858.73,921.97,"{""Color"": ""orange"", ""Material"": ""gold""}"
George Adams,98,216.57,766.61,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Ralph Johnson,171,586.1,1342.4,"{""Color"": ""orange"", ""Material"": ""plastic""}"
Joshua Wong,2,669.05,1253.1,"{""Color"": ""orange"", ""Material"": ""gold""}"
Jessica Herrera,148,479.18,916.55,"{""Color"": ""red"", ""Material"": ""silver""}"
Christopher Peterson,27,448.08,1040.38,"{""Color"": ""green"", ""Material"": ""plastic""}"
Phillip Madden,10,603.37,782.7,"{""Color"": ""red"", ""Material"": ""plastic""}"
George Hardin,157,160.18,1815.9,"{""Color"": ""black"", ""Material"": ""aluminum""}"
Joseph White,106,744.72,1621.84,"{""Color"": ""blue"", ""Material"": ""silver""}"
Andrea Howard,42,967.07,169.14,"{""Color"": ""red"", ""Material"": ""plastic""}"
Stanley Weaver,7,173.12,1329.48,"{""Color"": ""blue"", ""Material"": ""plastic""}"
Monica Peterson,13,722.32,1844.94,"{""Color"": ""green"", ""Material"": ""aluminum""}"
Robert Henderson,194,864.58,1753.14,"{""Color"": ""black"", ""Material"": ""plastic""}"
Mariah Jackson,38,389.0,1848.52,"{""Color"": ""green"", ""Material"": ""inox""}"
Michelle Ward,87,686.87,1276.59,"{""Color"": ""white"", ""Material"": ""inox""}"
Danny Friedman,150,160.61,355.87,"{""Color"": ""red"", ""Material"": ""silver""}"
Jennifer Flores,191,642.83,1476.16,"{""Color"": ""white"", ""Material"": ""inox""}"
Ariana Lee,5,334.98,1666.32,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Johnny Brandt,4,284.34,277.44,"{""Color"": ""green"", ""Material"": ""aluminum""}"
Travis Mcconnell,199,298.1,1715.02,"{""Color"": ""black"", ""Material"": ""gold""}"
Melinda Garcia,92,539.81,811.87,"{""Color"": ""orange"", ""Material"": ""plastic""}"
Karen Howard,174,265.57,545.69,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Jonathan Lang,164,426.32,1790.08,"{""Color"": ""green"", ""Material"": ""silver""}"
Brooke White,86,375.64,1760.68,"{""Color"": ""black"", ""Material"": ""silver""}"
Christopher Wallace,72,847.6,518.74,"{""Color"": ""white"", ""Material"": ""gold""}"
Robert Ortega,143,374.94,999.6,"{""Color"": ""red"", ""Material"": ""inox""}"
Mike Bailey,130,865.42,1123.88,"{""Color"": ""red"", ""Material"": ""silver""}"
Kyle Edwards,144,398.22,414.59,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Jessica Hancock,81,856.03,1393.1,"{""Color"": ""orange"", ""Material"": ""inox""}"
